# cav             pos     cav_amp_epics cav_phase_epics cav_amp_model cav_phase rf_gap_avg_phase phase_offset real_offset eKin_in  eKin_out  delta_eKin_in_out_keV bpm_eKin_out model_eKin_out delta_eKin_fit_keV  E0TL_MeV phi_EPICS
32 SCL_RF:Cav11b   62.789            15       -147.78        13.905    18.754   -21.904   -21.950   -21.830        376.51        382.17       -16.842        382.17        382.82    4.5       6.1341 -147.7800
33 SCL_RF:Cav11c   63.948            15       -146.99        13.849    19.502   -22.889   -22.865   -22.865        382.15        387.69       -20.316        387.69        388.34    4.2       6.0464 -146.9900
34 SCL_RF:Cav12a   67.498            15         91.38        24.415  -100.732   -18.845   -19.750   -19.778        387.66        396.22       -30.821        396.22        396.92    5.5        8.853 +91.3800
35 SCL_RF:Cav12b   68.945            15         93.56        25.392   -98.618   -20.068   -20.979   -20.854        396.18        405.43       -38.852        405.42        406.18   18.5       9.6396 +93.5600
36 SCL_RF:Cav12c   70.261            15         96.73         25.14   -95.462   -20.369   -21.144   -21.126        405.37        414.92       -58.206        414.91        415.75   10.7       9.9876 +96.7300
37 SCL_RF:Cav12d   71.708            15        103.99        25.015   -88.220   -16.657   -17.181   -17.145        414.88        425.01       -44.665        425.01        425.91   10.0       10.368 +103.9900
38 SCL_RF:Cav13a   75.389            15        103.09        24.951   -89.096   -20.918   -21.354   -21.600        424.98        435.24       -30.199        435.22        436.18   17.4       10.775 +103.0900
39 SCL_RF:Cav13b   76.836            15        106.25        24.772   -86.005   -21.198   -21.455   -21.597        435.17        445.72       -62.413        445.71        446.74   18.7        11.11 +106.2500
40 SCL_RF:Cav13c   78.152            15        109.39        24.626   -82.794   -21.310   -21.539   -21.578        445.67        456.51       -50.354        456.51        457.59   18.8       11.441 +109.3900
41 SCL_RF:Cav13d   79.599            15         112.5         24.51   -79.629   -21.415   -21.629   -21.698        456.46         467.6       -46.794        467.59        468.74   13.2       11.767 +112.5000
42 SCL_RF:Cav14a   83.280            15        115.57        24.446   -76.664   -21.662   -21.700   -22.038        467.57        478.99       -27.642        478.97        480.16   16.6         12.1 +115.5700
43 SCL_RF:Cav14b   84.727            15        118.61        24.331   -73.654   -21.803   -21.770   -21.961        478.93         490.6       -60.652         490.6        491.84   12.0       12.391 +118.6100
44 SCL_RF:Cav14c   86.043            15         121.6        24.241   -70.628   -21.861   -21.842   -21.905        490.56        502.49        -43.84        502.49        503.77   13.6       12.674 +121.6000
45 SCL_RF:Cav14d   87.490            15        124.53        24.105   -67.712   -21.954   -21.935   -22.005        502.43        514.56       -56.195        514.55         515.9   19.9       12.912 +124.5300
46 SCL_RF:Cav15a   91.171            15        127.41        23.965   -64.834   -22.005   -22.092   -22.042        514.51        526.82       -50.088        526.82        528.22    9.3       13.124 +127.4100
47 SCL_RF:Cav15b   92.618            15        130.23        23.915   -61.997   -22.018   -22.130   -21.971        526.78        539.31       -43.653        539.31        540.75   11.7       13.367 +130.2300
48 SCL_RF:Cav15c   93.934            15        132.98        23.852   -59.213   -22.008   -22.146   -21.991        539.27           552       -42.906        551.99        553.47    7.5       13.581 +132.9800
49 SCL_RF:Cav15d   95.381            15        135.67        23.759   -56.563   -22.054   -22.143   -22.059        551.94        564.82       -56.693        564.81        566.35    8.3        13.76 +135.6700
50 SCL_RF:Cav16a   99.062            15        138.29         23.66   -54.071   -22.174   -22.115   -22.085         564.8        577.81        -13.47         577.8        579.34   14.2       13.919 +138.2900
51 SCL_RF:Cav16b  100.509            15        140.83        23.585   -51.501   -22.133   -22.070   -22.023        577.77        590.91       -44.803         590.9        592.48    9.7       14.069 +140.8300
52 SCL_RF:Cav16c  101.825            15        143.31         23.51   -49.012   -22.093   -22.003   -21.970        590.86        604.13       -43.214        604.12        605.73    9.1       14.203 +143.3100
53 SCL_RF:Cav16d  103.272            15        145.71        23.435   -46.602   -22.053   -21.947   -21.910        604.08        617.45       -42.152        617.44        619.09    9.5        14.32 +145.7100
54 SCL_RF:Cav17a  106.953            15        148.05        23.358   -44.217   -21.962   -21.849   -21.817        617.46        630.92        6.2556        630.91        632.54    8.9        14.42 +148.0500
55 SCL_RF:Cav17b  108.400            15        150.31        23.288   -41.929   -21.889   -21.765   -21.733        630.88        644.42       -38.978        644.42        646.07    8.4       14.509 +150.3100
56 SCL_RF:Cav17c  109.716            15         152.5         23.22   -39.706   -21.808   -21.675   -21.645        644.38           658       -37.491        657.99        659.67    8.1       14.586 +152.5000
57 SCL_RF:Cav17d  111.163            15        154.62        23.151   -37.555   -21.725   -21.585   -21.555        657.96        671.64       -36.215        671.63        673.33    7.9       14.648 +154.6200
58 SCL_RF:Cav18a  114.844            15        156.67        23.116   -35.404   -21.574   -21.435   -21.407        671.65         685.4        16.546         685.4        687.07    7.6        14.72 +156.6700
59 SCL_RF:Cav18b  116.291            15        158.66        23.065   -33.365   -21.468   -21.324   -21.298        685.37        699.17       -34.222        699.17        700.85    7.3       14.771 +158.6600
60 SCL_RF:Cav18c  117.607            15        160.58        23.015   -31.404   -21.374   -21.227   -21.202        699.14        712.98       -32.992        712.98        714.68    7.0       14.811 +160.5800
61 SCL_RF:Cav18d  119.054            15        162.44        22.966   -29.518   -21.291   -21.140   -21.117        712.95        726.82       -31.865        726.82        728.54    6.7       14.842 +162.4400
62 SCL_RF:Cav19a  122.735            15        164.23        22.927   -27.680   -21.196   -21.053   -21.031        726.86        740.76        33.086        740.76        742.43    6.4       14.871 +164.2300
63 SCL_RF:Cav19b  124.182            15        165.97        22.879   -25.921   -21.120   -20.976   -20.956        740.73        754.65       -29.629        754.65        756.34    6.1       14.886 +165.9700
64 SCL_RF:Cav19c  125.498            15        167.65        22.831   -24.231   -21.054   -20.911   -20.891        754.63        768.56       -28.477        768.55        770.26    5.8       14.893 +167.6500
65 SCL_RF:Cav19d  126.945            15        169.27        22.782   -22.619   -21.012   -20.870   -20.850        768.53        782.46       -27.438        782.46        784.17    5.6       14.892 +169.2700
66 SCL_RF:Cav20a  130.626            15        170.84        22.742   -21.089   -20.998   -20.865   -20.848        782.53        796.46        69.055        796.45        798.08    5.3       14.892 +170.8400
67 SCL_RF:Cav20b  132.073            15        172.35        22.699   -19.587   -20.960   -20.829   -20.813        796.43        810.35       -25.343        810.35        811.99    5.0       14.883 +172.3500
68 SCL_RF:Cav20c  133.389            15        173.81        22.657   -18.133   -20.921   -20.792   -20.775        810.32        824.23       -24.364        824.23        825.88    4.8       14.869 +173.8100
69 SCL_RF:Cav20d  134.836            15        175.25        22.615   -16.710   -20.864   -20.737   -20.721        824.21         838.1       -23.431         838.1        839.76    4.6       14.851 +175.2500
70 SCL_RF:Cav21a  138.517            15        176.63          22.6   -15.362   -20.838   -20.726   -20.711        838.21         852.1        113.21         852.1        853.63    4.4       14.846 +176.6300
71 SCL_RF:Cav21b  139.964            15        177.95        22.568   -14.044   -20.799   -20.689   -20.675        852.08        865.95       -21.824        865.94        867.48    4.2       14.826 +177.9500
72 SCL_RF:Cav21c  141.280            15         179.2        22.538   -12.792   -20.785   -20.676   -20.664        865.93        879.77       -21.055        879.77        881.32    4.0       14.803 +179.2000
73 SCL_RF:Cav21d  142.727            15       -179.56        22.507   -11.559   -20.749   -20.643   -20.630        879.75        893.58       -20.305        893.57        895.13    3.8       14.776 -179.5600
74 SCL_RF:Cav22a  146.408            15       -178.36        22.493   -10.360   -20.709   -20.621   -20.609        893.75        907.56         175.4        907.55        908.92    3.7       14.758 -178.3600
75 SCL_RF:Cav22b  147.855            15        -177.2        22.463    -9.193   -20.666   -20.579   -20.568        907.54        921.32       -18.792        921.32        922.69    3.5       14.726 -177.2000
76 SCL_RF:Cav22c  149.171            15       -176.07        22.434    -8.054   -20.614   -20.529   -20.519         921.3        935.05       -18.132        935.05        936.43    3.3       14.693 -176.0700
77 SCL_RF:Cav22d  150.618            15       -174.99        22.404    -6.972   -20.586   -20.504   -20.493        935.03        948.75       -17.454        948.75        950.14    3.2       14.657 -174.9900
78 SCL_RF:Cav23a  154.299            15       -173.93        22.374    -5.909   -20.545   -20.464   -20.454        948.74        962.42       -16.848        962.42        963.81    3.1       14.619 -173.9300
79 SCL_RF:Cav23b  155.746            15       -172.91        22.346    -4.875   -20.500   -20.421   -20.411        962.41        976.06       -16.252        976.06        977.46    2.9       14.581 -172.9100
80 SCL_RF:Cav23c  157.062            15       -171.92        22.319    -3.867   -20.452   -20.375   -20.366        976.04        989.66       -15.651        989.66        991.06    2.8       14.541 -171.9200
81 SCL_RF:Cav23d  158.509            15       -170.96        22.291    -2.895   -20.412   -20.337   -20.328        989.65        1003.2       -15.123        1003.2        1004.6    2.7         14.5 -170.9600
82 SCL_RF:Cav25a  170.081            15       -173.93        21.567    -5.725   -24.159   -24.119   -24.111        1003.6        1016.8        415.84        1016.8        1017.8    3.8       14.407 -173.9300
83 SCL_RF:Cav25b  171.528            15       -172.91         21.54    -7.163   -26.461   -26.425   -26.417        1016.8        1029.6       -16.822        1029.6        1030.6    3.7       14.372 -172.9100
84 SCL_RF:Cav25c  172.844            15       -171.92        21.515   -11.197   -31.316   -31.288   -31.280        1029.6        1041.9        -16.05        1041.9        1042.9    3.5       14.338 -171.9200
85 SCL_RF:Cav25d  174.291            15       -170.96        21.492   -18.798   -39.669   -39.660   -39.652        1041.8        1052.9        -14.97        1052.9        1053.9    3.4       14.304 -170.9600
